,q5,q15,q50,q85,q95,mean
0,796.6,796.6,796.6,796.6,796.6,796.6000000000121
1,796.6,796.6,796.6,796.6,796.6,796.6000000000121
2,796.6,796.6,796.6,796.6,796.6,796.6000000000121
3,796.6,796.6,796.6,796.6,796.6,796.6000000000121
4,793.0,793.0,793.0,793.0,793.0,793.0
5,793.0,793.0,793.0,793.0,793.0,793.0
6,793.0,793.0,793.0,793.0,793.0,793.0
7,793.0,793.0,793.0,793.0,793.0,793.0
8,793.0,793.0,793.0,793.0,793.0,793.0
9,792.9,792.9,792.9,792.9,792.9,792.8999999999862
10,788.4,788.4,788.4,788.4,788.4,788.3999999999838
11,788.4,788.4,788.4,788.4,788.4,788.3999999999838
12,788.4,788.4,788.4,788.4,788.4,788.3999999999838
13,786.2,786.2,786.2,786.2,786.2,786.2000000000888
14,780.42,780.42,780.42,780.42,780.42,780.4199999999463
15,780.42,780.42,780.42,780.42,780.42,780.4199999999463
16,780.42,780.42,780.42,780.42,780.42,780.4199999999463
17,780.4,780.4,780.4,780.4,780.4,780.39999999998
18,780.4,780.4,780.4,780.4,780.4,780.39999999998
19,778.39,778.39,778.39,778.39,778.39,778.3900000000041
20,778.39,778.39,778.39,778.39,778.39,778.3900000000041
21,778.39,778.39,778.39,778.39,778.39,778.3900000000041
22,778.39,778.39,778.39,778.39,778.39,778.3900000000041
23,778.39,778.39,778.39,778.39,778.39,778.3900000000041
24,778.39,778.39,778.39,778.39,778.39,778.3900000000041
25,778.39,778.39,778.39,778.39,778.39,778.3900000000041
26,776.96,776.96,776.96,776.96,776.96,776.959999999968
27,764.39,764.39,764.39,764.39,764.39,764.3900000000104
28,764.39,764.39,764.39,764.39,764.39,764.3900000000104
29,759.74,759.74,759.74,759.74,759.74,759.7400000001168
30,759.36,759.36,759.36,759.36,759.36,759.3599999999874
31,759.36,759.36,759.36,759.36,759.36,759.3599999999874
32,759.36,759.36,759.36,759.36,759.36,759.3599999999874
33,759.36,759.36,759.36,759.36,759.36,759.3599999999874
34,759.36,759.36,759.36,759.36,759.36,759.3599999999874
35,759.36,759.36,759.36,759.36,759.36,759.3599999999874
36,757.35,757.35,757.35,757.35,757.35,757.350000000032
37,757.35,757.35,757.35,757.35,757.35,757.350000000032
38,757.35,757.35,757.35,757.35,757.35,757.350000000032
39,757.35,757.35,757.35,757.35,757.35,757.350000000032
40,757.35,757.35,757.35,757.35,757.35,757.350000000032
41,757.35,757.35,757.35,757.35,757.35,757.350000000032
42,757.35,757.35,757.35,757.35,757.35,757.350000000032
43,757.35,757.35,757.35,757.35,757.35,757.350000000032
44,757.35,757.35,757.35,757.35,757.35,757.350000000032
45,757.35,757.35,757.35,757.35,757.35,757.350000000032
46,757.35,757.35,757.35,757.35,757.35,757.350000000032
47,757.35,757.35,757.35,757.35,757.35,757.350000000032
48,757.35,757.35,757.35,757.35,757.35,757.350000000032
49,757.35,757.35,757.35,757.35,757.35,757.350000000032
50,757.35,757.35,757.35,757.35,757.35,757.350000000032
51,757.35,757.35,757.35,757.35,757.35,757.350000000032
52,755.36,755.36,755.36,755.36,755.36,755.3599999999856
53,755.36,755.36,755.36,755.36,755.36,755.3599999999856
54,746.2440123583294,755.36,755.36,755.36,755.36,754.0271523554926
55,735.7821233009081,751.8619826532107,755.36,755.36,755.36,752.663703000155
56,731.594671595672,746.9843381764888,755.36,755.36,755.36,751.5290253625004
57,727.0785807335373,742.9873625843861,755.36,755.36,755.36,750.3045795692435
58,723.7976515180087,739.912605679703,755.36,755.36,755.36,749.1562223389914
59,721.0086841836661,737.2762365171144,755.36,755.36,755.36,748.1889338228183
60,719.0298015557363,735.4107412857913,755.36,755.36,755.36,747.2935618494887
61,717.7544353029015,733.7342824955508,753.8265110942289,755.36,755.36,746.3912471809513
62,715.4589670585914,732.1014410355516,752.4920038485686,755.36,755.36,745.4689281509549
63,714.3330686115112,730.6421569145081,751.1461522461605,755.36,755.36,744.7231838860295
