,q5,q15,q50,q85,q95,mean
0,7777.0,7777.0,7777.0,7777.0,7777.0,7777.0
1,7714.0,7714.0,7714.0,7714.0,7714.0,7714.0
2,7714.0,7714.0,7714.0,7714.0,7714.0,7714.0
3,7714.0,7714.0,7714.0,7714.0,7714.0,7714.0
4,7714.0,7714.0,7714.0,7714.0,7714.0,7714.0
5,7714.0,7714.0,7714.0,7714.0,7714.0,7714.0
6,7714.0,7714.0,7714.0,7714.0,7714.0,7714.0
7,7714.0,7714.0,7714.0,7714.0,7714.0,7714.0
8,7714.0,7714.0,7714.0,7714.0,7714.0,7714.0
9,7714.0,7714.0,7714.0,7714.0,7714.0,7714.0
10,7714.0,7714.0,7714.0,7714.0,7714.0,7714.0
11,7714.0,7714.0,7714.0,7714.0,7714.0,7714.0
12,7714.0,7714.0,7714.0,7714.0,7714.0,7714.0
13,7693.0,7693.0,7693.0,7693.0,7693.0,7693.0
14,7693.0,7693.0,7693.0,7693.0,7693.0,7693.0
15,7693.0,7693.0,7693.0,7693.0,7693.0,7693.0
16,7685.0,7685.0,7685.0,7685.0,7685.0,7685.0
17,7632.0,7632.0,7632.0,7632.0,7632.0,7632.0
18,7632.0,7632.0,7632.0,7632.0,7632.0,7632.0
19,7632.0,7632.0,7632.0,7632.0,7632.0,7632.0
20,7610.0,7610.0,7610.0,7610.0,7610.0,7610.0
21,7610.0,7610.0,7610.0,7610.0,7610.0,7610.0
22,7610.0,7610.0,7610.0,7610.0,7610.0,7610.0
23,7610.0,7610.0,7610.0,7610.0,7610.0,7610.0
24,7610.0,7610.0,7610.0,7610.0,7610.0,7610.0
25,7610.0,7610.0,7610.0,7610.0,7610.0,7610.0
26,7610.0,7610.0,7610.0,7610.0,7610.0,7610.0
27,7610.0,7610.0,7610.0,7610.0,7610.0,7610.0
28,7610.0,7610.0,7610.0,7610.0,7610.0,7610.0
29,7610.0,7610.0,7610.0,7610.0,7610.0,7610.0
30,7565.0,7565.0,7565.0,7565.0,7565.0,7565.0
31,7542.0,7542.0,7542.0,7542.0,7542.0,7542.0
32,7542.0,7542.0,7542.0,7542.0,7542.0,7542.0
33,7542.0,7542.0,7542.0,7542.0,7542.0,7542.0
34,7538.0,7538.0,7538.0,7538.0,7538.0,7538.0
35,7495.0,7495.0,7495.0,7495.0,7495.0,7495.0
36,7495.0,7495.0,7495.0,7495.0,7495.0,7495.0
37,7495.0,7495.0,7495.0,7495.0,7495.0,7495.0
38,7495.0,7495.0,7495.0,7495.0,7495.0,7495.0
39,7466.0,7466.0,7466.0,7466.0,7466.0,7466.0
40,7439.0,7439.0,7439.0,7439.0,7439.0,7439.0
41,7439.0,7439.0,7439.0,7439.0,7439.0,7439.0
42,7439.0,7439.0,7439.0,7439.0,7439.0,7439.0
43,7418.0,7418.0,7418.0,7418.0,7418.0,7418.0
44,7418.0,7418.0,7418.0,7418.0,7418.0,7418.0
45,7403.0,7403.0,7403.0,7403.0,7403.0,7403.0
46,7377.0,7377.0,7377.0,7377.0,7377.0,7377.0
47,7377.0,7377.0,7377.0,7377.0,7377.0,7377.0
48,7377.0,7377.0,7377.0,7377.0,7377.0,7377.0
49,7377.0,7377.0,7377.0,7377.0,7377.0,7377.0
50,7299.0,7299.0,7299.0,7299.0,7299.0,7299.0
51,7299.0,7299.0,7299.0,7299.0,7299.0,7299.0
52,7299.0,7299.0,7299.0,7299.0,7299.0,7299.0
53,7299.0,7299.0,7299.0,7299.0,7299.0,7299.0
54,7210.012879184767,7299.0,7299.0,7299.0,7299.0,7285.46208166617
55,7120.8336012963155,7282.595233958759,7299.0,7299.0,7299.0,7274.151773131962
56,7072.9987254837915,7230.468212644776,7299.0,7299.0,7299.0,7264.176938528909
57,7025.396785814935,7191.317424396112,7299.0,7299.0,7299.0,7253.714997003955
58,6995.732500668483,7161.0675897226565,7299.0,7299.0,7299.0,7244.806786925069
59,6977.073802988456,7141.663000054899,7299.0,7299.0,7299.0,7236.743480645042
60,6949.472300223559,7119.90113447684,7299.0,7299.0,7299.0,7227.567178136098
61,6934.097548197756,7100.727838091933,7299.0,7299.0,7299.0,7219.6158753262125
62,6913.5757111672065,7085.708125470084,7291.664920821962,7299.0,7299.0,7211.3404838478045
63,6900.289376029078,7074.28632988765,7281.740430788335,7299.0,7299.0,7204.800554771908
