Year,1000m,1m,5000m,10000m,20000m,Marathon
1983,153.8,257.44,908.26,,,8563
1984,153.8,257.44,898.89,,,8563
1985,153.8,256.71,888.07,,,8466
1986,153.8,256.71,877.33,,,8466
1987,153.8,256.71,877.33,,,8466
1988,153.8,256.71,877.33,,,8466
1989,153.8,255.61,877.33,,,8466
1990,150.67,255.61,877.33,,,8466
1991,150.67,255.61,877.33,,,8466
1992,150.67,255.61,877.33,,,8466
1993,150.67,255.61,877.33,,,8466
1994,150.67,255.61,877.33,,,8466
1995,149.34,255.61,876.45,,,8466
1996,148.98,252.56,868.09,,,8466
1997,148.98,252.56,868.09,,,8466
