Year,1000m,1m,5000m,10000m,20000m,Marathon
1968,136.2,231.1,796.6,1659.4,3486.2,7777
1969,136.2,231.1,796.6,1659.4,3486.2,7714
1970,136.2,231.1,796.6,1659.4,3486.2,7714
1971,136.2,231.1,796.6,1659.4,3486.2,7714
1972,136.2,231.1,793,1658.4,3464.4,7714
1973,136,231.1,793,1650.8,3464.4,7714
1974,133.9,231.1,793,1650.8,3464.4,7714
1975,133.9,229.4,793,1650.8,3451.6,7714
1976,133.9,229.4,793,1650.8,3444.2,7714
1977,133.9,229.4,792.9,1650.5,3444.2,7714
1978,133.9,229.4,788.4,1642.4,3444.2,7714
1979,133.9,228.95,788.4,1642.4,3444.2,7714
1980,133.4,228.8,788.4,1642.4,3444.2,7714
1981,132.18,227.33,786.2,1642.4,3444.2,7693
1982,132.18,227.33,780.42,1642.4,3444.2,7693
1983,132.1,227.26,780.13,1642,3443.2,7691
1984,132.03,227.2,779.85,1641.7,3442.4,7689
1985,131.96,227.13,779.59,1641.4,3441.5,7687
1986,131.89,227.08,779.34,1641.1,3440.7,7685
1987,131.83,227.02,779.11,1640.8,3440,7684
1988,131.77,226.97,778.88,1640.5,3439.2,7682
1989,131.71,226.92,778.66,1640.3,3438.5,7681
1990,131.66,226.87,778.46,1640,3437.9,7679
1991,131.6,226.82,778.26,1639.8,3437.3,7678
1992,131.55,226.78,778.07,1639.6,3436.6,7677
1993,131.5,226.73,777.89,1639.4,3436.1,7675
1994,131.46,226.69,777.71,1639.1,3435.5,7674
1995,131.41,226.65,777.54,1638.9,3435,7673
1996,131.37,226.61,777.37,1638.7,3434.4,7672
1997,131.32,226.57,777.21,1638.6,3433.9,7671
