Year,1000m,1m,5000m,10000m,20000m,Marathon
1968,136.2,231.1,796.6,1659.4,3486.2,7777
1969,136.2,231.1,796.6,1659.4,3486.2,7714
1970,136.2,231.1,796.6,1659.4,3486.2,7714
1971,136.2,231.1,796.6,1659.4,3486.2,7714
1972,136.2,231.1,793,1658.4,3464.4,7714
1973,136,231.1,793,1650.8,3464.4,7714
1974,133.9,231.1,793,1650.8,3464.4,7714
1975,133.9,229.4,793,1650.8,3451.6,7714
1976,133.9,229.4,793,1650.8,3444.2,7714
1977,133.9,229.4,792.9,1650.5,3444.2,7714
1978,133.9,229.4,788.4,1642.4,3444.2,7714
1979,133.9,228.95,788.4,1642.4,3444.2,7714
1980,133.4,228.8,788.4,1642.4,3444.2,7714
1981,132.18,227.33,786.2,1642.4,3444.2,7693
1982,132.18,227.33,780.42,1642.4,3444.2,7693
1983,132.18,227.33,780.42,1642.4,3444.2,7693
1984,132.18,227.33,780.42,1633.81,3444.2,7685
1985,132.18,226.32,780.4,1633.81,3444.2,7632
1986,132.18,226.32,780.4,1633.81,3444.2,7632
1987,132.18,226.32,778.39,1633.81,3444.2,7632
1988,132.18,226.32,778.39,1633.81,3444.2,7610
1989,132.18,226.32,778.39,1628.23,3444.2,7610
1990,132.18,226.32,778.39,1628.23,3438.4,7610
1991,132.18,226.32,778.39,1628.23,3415.6,7610
1992,132.18,226.32,778.39,1628.23,3415.6,7610
1993,132.18,224.39,778.39,1618.38,3415.6,7610
1994,132.18,224.39,776.96,1612.23,3415.6,7610
1995,132.18,224.39,764.39,1603.53,3415.6,7610
1996,132.18,224.39,764.39,1598.08,3415.6,7610
1997,132.18,224.39,759.74,1587.85,3415.6,7610
1998,132.18,224.39,759.36,1582.75,3415.6,7565
1999,131.96,223.13,759.36,1582.75,3415.6,7542
2000,131.96,223.13,759.36,1582.75,3415.6,7542
2001,131.96,223.13,759.36,1582.75,3415.6,7542
2002,131.96,223.13,759.36,1582.75,3415.6,7538
2003,131.96,223.13,759.36,1582.75,3415.6,7495
2004,131.96,223.13,757.35,1580.31,3415.6,7495
2005,131.96,223.13,757.35,1577.53,3415.6,7495
2006,131.96,223.13,757.35,1577.53,3415.6,7495
2007,131.96,223.13,757.35,1577.53,3386,7466
2008,131.96,223.13,757.35,1577.53,3386,7439
2009,131.96,223.13,757.35,1577.53,3386,7439
2010,131.96,223.13,757.35,1577.53,3386,7439
2011,131.96,223.13,757.35,1577.53,3386,7418
2012,131.96,223.13,757.35,1577.53,3386,7418
2013,131.96,223.13,757.35,1577.53,3386,7403
2014,131.96,223.13,757.35,1577.53,3386,7377
2015,131.96,223.13,757.35,1577.53,3386,7377
2016,131.96,223.13,757.35,1577.53,3386,7377
2017,131.96,223.13,757.35,1577.53,3386,7377
2018,131.96,223.13,757.35,1577.53,3386,7299
2019,131.96,223.13,757.35,1577.53,3386,7299
2020,131.96,223.13,755.36,1571,3380.02,7299
2021,131.96,223.13,755.36,1571,3380.02,7299
