,q5,q15,q50,q85,q95,mean
0,277.0,277.0,277.0,277.0,277.0,277.0
1,276.8,276.8,276.8,276.8,276.8,276.8000000000293
2,276.8,276.8,276.8,276.8,276.8,276.8000000000293
3,275.3,275.3,275.3,275.3,275.3,275.3000000000292
4,275.3,275.3,275.3,275.3,275.3,275.3000000000292
5,269.5,269.5,269.5,269.5,269.5,269.5
6,269.5,269.5,269.5,269.5,269.5,269.5
7,269.5,269.5,269.5,269.5,269.5,269.5
8,269.5,269.5,269.5,269.5,269.5,269.5
9,263.8,263.8,263.8,263.8,263.8,263.80000000002843
10,263.8,263.8,263.8,263.8,263.8,263.80000000002843
11,262.1,262.1,262.1,262.1,262.1,262.1000000000201
12,261.7,261.7,261.7,261.7,261.7,261.69999999997174
13,260.89,260.89,260.89,260.89,260.89,260.8899999999743
14,257.44,257.44,257.44,257.44,257.44,257.43999999996385
15,257.44,257.44,257.44,257.44,257.44,257.43999999996385
16,257.44,257.44,257.44,257.44,257.44,257.43999999996385
17,256.71,256.71,256.71,256.71,256.71,256.70999999997855
18,256.71,256.71,256.71,256.71,256.71,256.70999999997855
19,256.71,256.71,256.71,256.71,256.71,256.70999999997855
20,256.71,256.71,256.71,256.71,256.71,256.70999999997855
21,255.61,255.61,255.61,255.61,255.61,255.6100000000241
22,255.61,255.61,255.61,255.61,255.61,255.6100000000241
23,255.61,255.61,255.61,255.61,255.61,255.6100000000241
24,255.61,255.61,255.61,255.61,255.61,255.6100000000241
25,255.61,255.61,255.61,255.61,255.61,255.6100000000241
26,255.61,255.61,255.61,255.61,255.61,255.6100000000241
27,255.61,255.61,255.61,255.61,255.61,255.6100000000241
28,252.56,252.56,252.56,252.56,252.56,252.5600000000358
29,252.56,252.56,252.56,252.56,252.56,252.5600000000358
30,252.56,252.56,252.56,252.56,252.56,252.5600000000358
31,252.56,252.56,252.56,252.56,252.56,252.5600000000358
32,252.56,252.56,252.56,252.56,252.56,252.5600000000358
33,252.56,252.56,252.56,252.56,252.56,252.5600000000358
34,252.56,252.56,252.56,252.56,252.56,252.5600000000358
35,252.56,252.56,252.56,252.56,252.56,252.5600000000358
36,252.56,252.56,252.56,252.56,252.56,252.5600000000358
37,252.56,252.56,252.56,252.56,252.56,252.5600000000358
38,252.56,252.56,252.56,252.56,252.56,252.5600000000358
39,252.56,252.56,252.56,252.56,252.56,252.5600000000358
40,252.56,252.56,252.56,252.56,252.56,252.5600000000358
41,252.56,252.56,252.56,252.56,252.56,252.5600000000358
42,252.56,252.56,252.56,252.56,252.56,252.5600000000358
43,252.56,252.56,252.56,252.56,252.56,252.5600000000358
44,252.56,252.56,252.56,252.56,252.56,252.5600000000358
45,252.56,252.56,252.56,252.56,252.56,252.5600000000358
46,252.56,252.56,252.56,252.56,252.56,252.5600000000358
47,252.56,252.56,252.56,252.56,252.56,252.5600000000358
48,252.56,252.56,252.56,252.56,252.56,252.5600000000358
49,252.56,252.56,252.56,252.56,252.56,252.5600000000358
50,252.56,252.56,252.56,252.56,252.56,252.5600000000358
51,252.33,252.33,252.33,252.33,252.33,252.33000000001024
52,252.33,252.33,252.33,252.33,252.33,252.33000000001024
53,252.33,252.33,252.33,252.33,252.33,252.33000000001024
54,241.4853608558875,252.2825918563318,252.33,252.33,252.33,250.8773396374965
55,234.80057705098605,245.7524610307389,252.33,252.33,252.33,249.519892293168
56,231.596054207345,241.982790807162,252.33,252.33,252.33,248.31987109604944
57,229.31844542719008,239.61301505518225,252.33,252.33,252.33,247.27381499637636
58,227.78123808168766,238.1269717848278,251.3673957074503,252.33,252.33,246.35497361981803
59,226.55808133712492,236.4859375562885,249.69976088768027,252.33,252.33,245.46154075659345
60,224.86328116433376,235.26926098868978,248.36030566705662,252.33,252.33,244.66462308406454
61,223.42702893231885,234.18327676448166,247.26591569739452,252.33,252.33,243.91857293779802
62,221.9372789318344,233.12801355198621,246.24948776098904,252.33,252.33,243.17024101744235
63,220.94051719637966,232.25804429631768,245.53497597777044,252.33,252.33,242.56203000044792
