,q5,q15,q50,q85,q95,mean
0,11247.2,11247.2,11247.2,11247.2,11247.2,11247.200000001238
1,11247.2,11247.2,11247.2,11247.2,11247.2,11247.200000001238
2,10973.0,10973.0,10973.0,10973.0,10973.0,10973.0
3,10180.0,10180.0,10180.0,10180.0,10180.0,10180.0
4,10180.0,10180.0,10180.0,10180.0,10180.0,10180.0
5,9996.0,9996.0,9996.0,9996.0,9996.0,9996.0
6,9834.5,9834.5,9834.5,9834.5,9834.5,9834.5
7,9499.0,9499.0,9499.0,9499.0,9499.0,9499.0
8,9499.0,9499.0,9499.0,9499.0,9499.0,9499.0
9,9287.5,9287.5,9287.5,9287.5,9287.5,9287.5
10,9149.8,9149.8,9149.8,9149.8,9149.8,9149.799999999163
11,8852.6,8852.6,8852.6,8852.6,8852.6,8852.600000000937
12,8741.3,8741.3,8741.3,8741.3,8741.3,8741.299999999263
13,8728.0,8728.0,8728.0,8728.0,8728.0,8728.0
14,8728.0,8728.0,8728.0,8728.0,8728.0,8728.0
15,8563.0,8563.0,8563.0,8563.0,8563.0,8563.0
16,8563.0,8563.0,8563.0,8563.0,8563.0,8563.0
17,8466.0,8466.0,8466.0,8466.0,8466.0,8466.0
18,8466.0,8466.0,8466.0,8466.0,8466.0,8466.0
19,8466.0,8466.0,8466.0,8466.0,8466.0,8466.0
20,8466.0,8466.0,8466.0,8466.0,8466.0,8466.0
21,8466.0,8466.0,8466.0,8466.0,8466.0,8466.0
22,8466.0,8466.0,8466.0,8466.0,8466.0,8466.0
23,8466.0,8466.0,8466.0,8466.0,8466.0,8466.0
24,8466.0,8466.0,8466.0,8466.0,8466.0,8466.0
25,8466.0,8466.0,8466.0,8466.0,8466.0,8466.0
26,8466.0,8466.0,8466.0,8466.0,8466.0,8466.0
27,8466.0,8466.0,8466.0,8466.0,8466.0,8466.0
28,8466.0,8466.0,8466.0,8466.0,8466.0,8466.0
29,8466.0,8466.0,8466.0,8466.0,8466.0,8466.0
30,8447.0,8447.0,8447.0,8447.0,8447.0,8447.0
31,8443.0,8443.0,8443.0,8443.0,8443.0,8443.0
32,8443.0,8443.0,8443.0,8443.0,8443.0,8443.0
33,8327.0,8327.0,8327.0,8327.0,8327.0,8327.0
34,8238.0,8238.0,8238.0,8238.0,8238.0,8238.0
35,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0
36,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0
37,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0
38,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0
39,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0
40,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0
41,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0
42,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0
43,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0
44,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0
45,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0
46,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0
47,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0
48,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0
49,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0
50,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0
51,8044.0,8044.0,8044.0,8044.0,8044.0,8044.0
52,8044.0,8044.0,8044.0,8044.0,8044.0,8044.0
53,8044.0,8044.0,8044.0,8044.0,8044.0,8044.0
54,6848.351152397192,7766.409124554358,8044.0,8044.0,8044.0,7871.181876654237
55,6201.229122748936,7186.953565946642,8044.0,8044.0,8044.0,7710.827932116473
56,5910.516689575604,6876.214547414883,8044.0,8044.0,8044.0,7578.956126164248
57,5726.1363429534495,6659.064471124334,7889.068498183746,8044.0,8044.0,7461.340489519064
58,5566.770564538179,6495.0338122360745,7699.654926226134,8044.0,8044.0,7364.720068367762
59,5445.130530902167,6347.761289145908,7543.900140526066,8044.0,8044.0,7264.716364990312
60,5327.476409217686,6226.3741295698355,7430.531827124394,8044.0,8044.0,7180.39306512479
61,5246.667157794789,6129.572556748242,7312.433074851619,8044.0,8044.0,7101.758543712896
62,5186.266162295483,6046.458039505155,7214.941455190462,8044.0,8044.0,7030.773868249978
63,5127.2954194530585,5969.59173527184,7138.817034485535,8044.0,8044.0,6964.766334873907
