Year,1000m,1m,5000m,10000m,20000m,Marathon
1968,180.6,277,953.6,2286.4,,11247.2
1969,180.6,276.8,953.6,2286.4,,11247.2
1970,180.6,276.8,953.6,2130.5,,10973
1971,180.6,275.3,953.6,2091,,10180
1972,155.9,275.3,953.6,2091,,10180
1973,155.9,269.5,953.6,2091,,9996
1974,155,269.5,953.6,2091,,9834.5
1975,155,269.5,953.6,2100.4,,9499
1976,153.8,269.5,953.6,,,9499
1977,153.8,263.8,937,,,9287.5
1978,153.8,263.8,935.52,,,9149.8
1979,153.8,262.1,933.8,,,8852.6
1980,153.8,261.7,930.6,,,8741.3
1981,153.8,260.89,924.6,,,8728
1982,153.8,257.44,908.26,,,8728
1983,153.8,257.44,908.26,,,8563
1984,153.8,257.44,898.89,,,8563
1985,153.8,256.71,888.07,,,8466
1986,153.8,256.71,877.33,,,8466
1987,153.8,256.71,877.33,,,8466
1988,153.8,256.71,877.33,,,8466
1989,153.8,255.61,877.33,,,8466
1990,150.67,255.61,877.33,,,8466
1991,150.67,255.61,877.33,,,8466
1992,150.67,255.61,877.33,,,8466
1993,150.67,255.61,877.33,,,8466
1994,150.67,255.61,877.33,,,8466
1995,149.34,255.61,876.45,,,8466
1996,148.98,252.56,868.09,,,8466
1997,148.98,252.56,868.09,,,8466
1998,148.98,252.56,868.09,,,8447
1999,148.98,252.56,868.09,,,8443
2000,148.98,252.56,868.09,,,8443
2001,148.98,252.56,868.09,,,8327
2002,148.98,252.56,868.09,,,8238
2003,148.98,252.56,868.09,,,8125
2004,148.98,252.56,864.68,,,8125
2005,148.98,252.56,864.68,,,8262
2006,148.98,252.56,864.53,,,8262
2007,148.98,252.56,856.63,,,8262
2008,148.98,252.56,851.15,,,8262
2009,148.98,252.56,851.15,,,8262
2010,148.98,252.56,851.15,,,8262
2011,148.98,252.56,851.15,,,8262
2012,148.98,252.56,851.15,,,8262
2013,148.98,252.56,851.15,,,8262
2014,148.98,252.56,851.15,,,8262
2015,148.98,252.56,851.15,,,8262
2016,148.98,252.56,851.15,,,8262
2017,148.98,252.56,851.15,,,8221
2018,148.98,252.56,851.15,,,8221
2019,148.98,252.33,851.15,,,8044
2020,148.98,252.33,846.62,,,8044
2021,148.98,252.33,846.62,,,8044
